LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK
"4050054800","4050022100","4050022300","1","107","000","-",과원북4길,"0","0","000","50","0","0","0",241.63500000000,
"4050054900","4050022100","4050023600","2","107","000","-",국기로,"0","0","000","60","0","0","0",97.22280000000,
"4050055000","4050023600","4050022100","2","107","000","-",국기로,"0","0","000","60","0","0","0",97.21930000000,
"4050055100","4050022200","4050022900","3","107","000","-",연북로,"0","0","000","70","0","0","0",646.78510000000,
"4050062100","4050024000","4050025700","1","107","000","-",수덕5길,"0","0","000","40","0","0","0",101.36460000000,
"4050055200","4050022900","4050022200","3","107","000","-",연북로,"0","0","000","70","0","0","0",646.64060000000,
"4050055301","4050036400","4050022201","2","107","000","-",오남로,"0","0","000","50","0","0","0",158.54240000000,
"4050055302","4050022201","4050022200","2","107","000","-",오남로,"0","0","000","50","0","0","0",736.19330000000,
"4050055401","4050022200","4050022201","2","107","000","-",오남로,"0","0","000","50","0","0","0",733.77320000000,
"4050055402","4050022201","4050036400","2","107","000","-",오남로,"0","0","000","50","0","0","0",156.88310000000,
"4050055500","4050022400","4050022300","1","107","000","-",과원북4길,"0","0","000","50","0","0","0",230.70970000000,
"4050055600","4050022300","4050022400","1","107","000","-",과원북4길,"0","0","000","50","0","0","0",230.71220000000,
"4050055700","4050022300","4050023800","2","107","000","-",연화로,"0","0","000","60","0","0","0",94.85690000000,
"4050055800","4050023800","4050022300","2","107","000","-",연화로,"0","0","000","60","0","0","0",94.85670000000,
"4050055900","4050004700","4050023200","1","107","000","-",정존1길,"0","0","000","40","0","0","0",81.76110000000,
"4050056000","4050023200","4050004700","1","107","000","-",정존1길,"0","0","000","40","0","0","0",82.33590000000,
"4050056100","4050004600","4050022400","1","107","000","-",과원북4길,"0","0","000","50","0","0","0",302.14890000000,
"4050056200","4050022400","4050004600","1","107","000","-",과원북4길,"0","0","000","50","0","0","0",302.14850000000,
"4050056300","4050022400","4050024100","1","107","000","-",원노형로,"0","0","000","50","0","0","0",93.27640000000,
"4050056400","4050024100","4050022400","1","107","000","-",원노형로,"0","0","000","50","0","0","0",93.27660000000,
"4050056500","4050004600","4050022600","1","107","000","-",진군길,"0","0","000","50","0","0","0",88.72370000000,
"4050056600","4050022600","4050004600","1","107","000","-",진군길,"0","0","000","50","0","0","0",88.72390000000,
"4050056700","4050023200","4050022500","1","107","000","-",정존9길,"0","0","000","40","0","0","0",98.20300000000,
"4050056800","4050022500","4050023200","1","107","000","-",정존9길,"0","0","000","40","0","0","0",98.20280000000,
"4050056901","4050022500","4050022501","2","107","000","-",광평동로,"0","0","000","60","0","0","0",22.15840000000,
"4050056902","4050022501","4050024000","2","107","000","-",광평동로,"0","0","000","60","0","0","0",98.33620000000,
"4050057001","4050024000","4050022501","2","107","000","-",광평동로,"0","0","000","60","0","0","0",98.33830000000,
"4050057002","4050022501","4050022500","2","107","000","-",광평동로,"0","0","000","60","0","0","0",22.16090000000,
"4050057100","4050022600","4050022800","1","107","000","-",진군길,"0","0","000","50","0","0","0",111.03330000000,
"4050057200","4050022800","4050022600","1","107","000","-",진군길,"0","0","000","50","0","0","0",111.03350000000,
"4050057300","4050022700","4050022800","1","107","000","-",진군길,"0","0","000","50","0","0","0",92.57610000000,
"4050057400","4050022800","4050022700","1","107","000","-",진군길,"0","0","000","50","0","0","0",95.29540000000,
"4050062200","4050025700","4050024000","1","107","000","-",수덕5길,"0","0","000","40","0","0","0",101.36890000000,
"4050057500","4050022700","4050024200","1","107","000","-",정원로,"0","0","000","40","0","0","0",85.90750000000,
"4050057600","4050024200","4050022700","1","107","000","-",정원로,"0","0","000","40","0","0","0",92.40130000000,
"4050057700","4050022800","4050024400","1","107","000","-",신형로,"0","0","000","50","0","0","0",88.99230000000,
"4050057800","4050024400","4050022800","1","107","000","-",신형로,"0","0","000","50","0","0","0",92.70850000000,
