"충전소명",충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
"영천동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 토평로 15,,제주특별자치도,1899-8852,33.2687729,126.5867363,2019-06-30
"영천동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 토평로 15,,환경부(한국자동차환경협회),1661-9408,33.2687729,126.5867363,2019-06-30
"예래동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 예래로 82(상예동),,제주특별자치도,1899-8852,33.2542814,126.3979513,2019-06-30
"예래동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 예래로 82(상예동),,한국전력,1899-2100,33.2542814,126.3979513,2019-06-30
"정방동문화의집",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 동부로12번길 11,,제주특별자치도,1899-8852,33.2465421,126.5703477,2019-06-30
"구)중문동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 천제연로 281(중문동),,제주특별자치도,1899-8852,33.2514374,126.4348664,2019-06-30
"색달쓰레기매립장",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 산록남로1241번길 145(색달동),,제주특별자치도,1899-8852,33.3070418,126.419081,2019-06-30
"색달쓰레기매립장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 산록남로1241번길 145(색달동),,환경부(한국자동차환경협회),1661-9408,33.3070418,126.419081,2019-06-30
"색달하수처리장",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 예래해안로 348(색달동),,제주특별자치도,1899-8852,33.2421105,126.3963773,2019-06-30
"서귀포자연휴양림",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,4,0,N,제주특별자치도 서귀포시 대포동 1100로 882,제주특별자치도 서귀포시 대포동 산1-1,제주특별자치도,1899-8852,33.3116678,126.4587607,2019-06-30
"자광원",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 이어도로 343번길 101(대포동),,제주특별자치도,1899-8852,33.2477147,126.4485341,2019-06-30
"중문동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 1100로 30,,제주특별자치도,1899-8852,33.25333129,126.4336393,2019-06-30
"중문보건지소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 천제연로 147(중문동),,제주특별자치도,1899-8852,33.2535153,126.4208709,2019-06-30
"중앙공영주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,Y,제주특별자치도 서귀포시 서귀동 291-63,제주특별자치도 서귀포시 서귀동 291-63,제주특별자치도,1899-8852,33.2499207,126.5599672,2019-06-30
"중앙공영주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,3,Y,제주특별자치도 서귀포시 서귀동 291-63,제주특별자치도 서귀포시 서귀동 291-63,환경부(한국자동차환경협회),1661-9408,33.2499207,126.5599672,2019-06-30
"중앙동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,2,0,N,제주특별자치도 서귀포시 동문로 39(서귀동),,제주특별자치도,1899-8852,33.2506359,126.5649933,2019-06-30
"천지동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 중정로47번길 3,,제주특별자치도,1899-8852,33.2477954,126.5612849,2019-06-30
"평생학습관 주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 서문로29번길 10(서귀동),,제주특별자치도,1899-8852,33.2493458,126.5589224,2019-06-30
"효돈119센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 일주동로 8234(신효동),,제주특별자치도,1899-8852,33.260795,126.6078006,2019-06-30
"효돈동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 효돈로152번길 7,,제주특별자치도,1899-8852,33.2633204,126.6156251,2019-06-30
"효돈동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 효돈로152번길 7,,환경부(한국자동차환경협회),1661-9408,33.2633204,126.6156251,2019-06-30
"효돈축구공원",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 효돈순화로 311-29,제주특별자치도 서귀포시 신효동 910,제주특별자치도,1899-8852,33.2583809,126.6103677772,2019-06-30
"남원생활체육관",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 남원읍 태위로 551-28,,제주특별자치도,1899-8852,33.27810723,126.705244,2019-06-30
"남원생활체육관",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 남원읍 태위로 551-28,,제주특별자치도,1899-8852,33.27810723,126.705244,2019-06-30
"남원읍사무소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,AC3상+DC차데모 +DC콤보,2,1,N,제주특별자치도 서귀포시 남원읍 태위로 695,,제주특별자치도,1899-8852,33.2797843,126.7205951,2019-06-30
"동부보건소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,6,0,N,제주특별자치도 서귀포시 남원읍 태위로 527,,제주특별자치도,1899-8852,33.2757617,126.7034172,2019-06-30
"동부보건소",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 남원읍 태위로 527,,환경부(한국자동차환경협회),1661-9408,33.2757617,126.7034172,2019-06-30
"서귀포농업기술센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,3,0,N,제주특별자치도 서귀포시 남원읍 중산간동로 7413,,제주특별자치도,1899-8852,33.28833481,126.6072502,2019-06-30
"서귀포농업기술센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,3,N,제주특별자치도 서귀포시 남원읍 중산간동로 7413,,환경부(한국자동차환경협회),1661-9408,33.28833481,126.6072502,2019-06-30
"제주공천포전지훈련센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 남원읍 신례로 96,,제주특별자치도,1899-8852,33.2771177,126.6413556,2019-06-30
"가파도 마을회관",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 대정읍 가파로 73,,제주특별자치도,1899-8852,33.1664333,126.2736156,2019-06-30
"대정 영어교육도시",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 대정읍 에듀시티로 86,,제주특별자치도,1899-8852,33.28794082,126.2818294,2019-06-30
"대정 영어교육도시",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 대정읍 에듀시티로 86,,환경부(한국자동차환경협회),1661-9408,33.28794082,126.2818294,2019-06-30
"대정119센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 대정읍 일주서로 2717,,제주특별자치도,1899-8852,33.2324732,126.2410807,2019-06-30
"대정읍사무소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 대정읍 하모중앙로 20,,제주특별자치도,1899-8852,33.2267537,126.2520832,2019-06-30
"하모2리주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 대정읍 하모리 1513,제주특별자치도 서귀포시 대정읍 하모리 1513,환경부(한국자동차환경협회),1661-9408,33.2238582,126.2504231,2019-06-30
"무릉문화의집",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 대정읍 서삼중로 128,,제주특별자치도,1899-8852,33.2734542,126.1990405,2019-06-30
"무릉문화의집",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 대정읍 서삼중로 128,,환경부(한국자동차환경협회),1661-9408,33.2734542,126.1990405,2019-06-30
"서귀포시서부종합사회복지관",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 대정읍 신영로 23,,제주특별자치도,1899-8852,33.22390252,126.2478797,2019-06-30
"서부보건소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,AC3상+DC차데모 +DC콤보,4,1,N,제주특별자치도 서귀포시 대정읍 최남단해안로15번길 12,,제주특별자치도,1899-8852,33.2187035,126.2534156,2019-06-30
"송악산 공영주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 대정읍 상모리 165,,제주특별자치도,1899-8852,33.2059597,126.2867586,2019-06-30
"제주추사관",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 대정읍 추사로 36번길 1,,제주특별자치도,1899-8852,33.2499613,126.2790157,2019-06-30
"제주추사관",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 대정읍 추사로 36번길 1,,환경부(한국자동차환경협회),1661-9408,33.2499613,126.2790157,2019-06-30
"제주추사관",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,3,0,N,제주특별자치도 서귀포시 대정읍 추사로 36번길 1,,KT,1522-0123,33.2499613,126.2790157,2019-06-30
"동부소방서",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 성산읍 일주동로4120번길 7,,제주특별자치도,1899-8852,33.460229,126.9100702,2019-06-30
"동부소방서",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 성산읍 일주동로4120번길 7,,환경부(한국자동차환경협회),1661-9408,33.460229,126.9100702,2019-06-30
"동부소방서",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 성산읍 일주동로4120번길 7,,한국전력,1899-2100,33.460229,126.9100702,2019-06-30
"동부종합사회복지관",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 성산읍 일출로 14-11,,제주특별자치도,1899-8852,33.4467084,126.9133734,2019-06-30
"성산보건지소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 성산읍 고성오조로 42,,제주특별자치도,1899-8852,33.44655575,126.9157493,2019-06-30
"성산읍사무소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,AC3상+DC차데모 +DC콤보,2,3,N,제주특별자치도 서귀포시 성산읍 일주동로 4330,,제주특별자치도,1899-8852,33.4424138,126.9110996,2019-06-30
"성산읍사무소",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 성산읍 일주동로 4330,,환경부(한국자동차환경협회),1661-9408,33.4424138,126.9110996,2019-06-30
"신산 청소년 문화의 집",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 성산읍 일주동로 5101-1,,제주특별자치도,1899-8852,33.3811222,126.8773508,2019-06-30
"혼인지",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 서귀포시 성산읍 혼인지로 39-22,,제주특별자치도,1899-8852,33.4149305,126.8941019,2019-06-30
"안덕면사무소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,4,0,N,제주특별자치도 서귀포시 안덕면 화순서서로 74,,제주특별자치도,1899-8852,33.2575319,126.3307426,2019-06-30
"안덕면사무소",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,4,N,제주특별자치도 서귀포시 안덕면 화순서서로 74,,환경부(한국자동차환경협회),1661-9408,33.2575319,126.3307426,2019-06-30
"안덕산방도서관",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 안덕면 화순서서로 44,,제주특별자치도,1899-8852,33.2550127,126.3307261,2019-06-30
"붉은오름 자연휴양림",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 표선면 남조로 1487-73,,제주특별자치도,1899-8852,33.4018105,126.6753835,2019-06-30
"표선119센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 표선면 표선관정로 39-16,,제주특별자치도,1899-8852,33.3271647,126.8277779,2019-06-30
"표선면사무소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,2,0,N,제주특별자치도 서귀포시 표선면 표선중앙로 74,,제주특별자치도,1899-8852,33.3262254,126.8321113,2019-06-30
"표선면사무소",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 서귀포시 표선면 표선중앙로 74,,환경부(한국자동차환경협회),1661-9408,33.3262254,126.8321113,2019-06-30
"표선보건지소",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 표선면 표선중앙로 21,,제주특별자치도,1899-8852,33.3311424,126.8306129,2019-06-30
"해양수산연구원",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 서귀포시 표선면 민속해안로 292,,제주특별자치도,1899-8852,33.3074886,126.8293373,2019-06-30
"건입동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 제주시 만덕로 18(건입동),,제주특별자치도,1899-8852,33.5150116,126.5315988,2019-06-30
"건입동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,1,N,제주특별자치도 제주시 만덕로 18(건입동),,환경부(한국자동차환경협회),1661-9408,33.5150116,126.5315988,2019-06-30
"제주시 평생학습센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,AC3상+DC차데모 +DC콤보,2,1,N,제주특별자치도 제주시 사라봉동길 15(건입동),,제주특별자치도,1899-8852,33.5140706,126.5474449,2019-06-30
"제주항여객터미널",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모 +DC콤보,0,2,N,제주특별자치도 제주시 임항로 111,,제주특별자치도,1899-8852,33.51953529,126.5350373,2019-06-30
"제주해양관리단",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,2,0,N,제주특별자치도 제주시 임항로 128(건입동),,제주특별자치도,1899-8852,33.5192613,126.5375945,2019-06-30
"노형119센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 제주시 광평동로 2(노형동),,제주특별자치도,1899-8852,33.4810713,126.4723194,2019-06-30
"노형동주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,1,0,N,제주특별자치도 제주시 노형9길 9-4(노형동),,제주특별자치도,1899-8852,33.48306793,126.4771831,2019-06-30
