NODE_ID,NODE_TYPE,NODE_NAME,lat,long,NODE_ID_OLD
3325,101,제주씨월드,33.472,126.931,4060087100.0
3326,102,성산포항종합여객터미널,33.473,126.935,4060087200.0
3327,103,속성변화점,33.293,126.281,4060087300.0
3328,101,신도리어촌계,33.277,126.171,4060087400.0
3329,105,제주시-서귀포시,33.286,126.171,4060087500.0
3330,101,신도리2692-2,33.281,126.175,4060087600.0
3331,101,신도2리마을회관,33.278,126.176,4060087700.0
3332,101,그림같은풍경앞,33.268,126.179,4060087800.0
3333,103,속성변화점,33.287,126.185,4060087900.0
3334,101,신도3교차로,33.285,126.187,4060088000.0
3335,101,신도리1804-5,33.283,126.187,4060088100.0
3336,101,해녀의집,33.257,126.188,4060088200.0
3337,101,신도2교차로,33.279,126.188,4060088300.0
3338,101,신도1교차로,33.275,126.189,4060088400.0
3339,101,형통화물,33.28,126.19,4060088500.0
3340,103,속성변화점,33.28,126.19,4060088600.0
3341,101,신도슈퍼,33.277,126.192,4060088700.0
3342,103,속성변화점,33.276,126.193,4060088800.0
3343,101,신도1리입구교차로,33.275,126.194,4060088900.0
3344,101,무릉리4097-38,33.253,126.195,4060089000.0
3345,101,무릉중앙로앞교차로,33.267,126.196,4060089100.0
3346,103,속성변화점,33.272,126.2,4060089200.0
3347,101,무릉사장로앞교차로,33.265,126.201,4060089300.0
3348,101,대정농협,33.271,126.202,4060089400.0
3349,101,무릉1리입구교차로,33.271,126.203,4060089500.0
3350,103,속성변화점,33.269,126.204,4060089600.0
3351,101,영락1교차로,33.263,126.205,4060089700.0
3352,101,서제주공인중개사,33.261,126.208,4060089800.0
3353,101,영락2교차로,33.258,126.21,4060089900.0
3354,101,조수리4146,33.292,126.211,4060090000.0
3355,101,대주수산유통,33.243,126.212,4060090100.0
3356,101,신도리3138,33.286,126.212,4060090200.0
3357,101,영락3교차로,33.254,126.213,4060090300.0
3358,101,신도리3138,33.285,126.213,4060090400.0
3359,101,영락리992-5,33.261,126.213,4060090500.0
3360,101,영락리986-4,33.261,126.214,4060090600.0
3361,101,영락리209-5,33.265,126.217,4060090700.0
3362,101,신도리3138,33.29,126.217,4060090800.0
3363,101,대정문화체육관,33.263,126.237,4060093600.0
3364,103,속성변화점,33.233,126.238,4060093700.0
3365,103,속성변화점,33.231,126.239,4060093800.0
3366,101,동일리2707-2,33.229,126.241,4060093900.0
3367,103,속성변화점,33.23,126.241,4060094000.0
3368,101,일과1교차로,33.232,126.242,4060094100.0
3369,103,속성변화점,33.233,126.242,4060094200.0
3370,101,일과1리시설원예집하장,33.234,126.243,4060094300.0
