LINK_ID,F_NODE,T_NODE,LANES_,ROAD_RANK_,ROAD_TYPE_,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,MAX_SPD_,REST_VEH_,REST_W_,REST_H_,LENGTH,REMARK_
"4050202700","4050066400","4050065800",3.00000000,"107","000","-",연삼로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,79.35070761510,기존
"4050202800","4050065800","4050066400",3.00000000,"107","000","-",연삼로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,79.17698761580,기존
"4050117500","4050040100","4050042300",2.00000000,"107","000","-",월랑로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,200.71696248000,DGPS
"4050124900","4050042300","4050010401",2.00000000,"107","000","-",월랑로,"0","0","000",40.00000000,"0",0.00000000,0.00000000,335.90860977400,DGPS
"4050072000","4050027000","4050005800",2.00000000,"107","000","-",구산로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,398.05549600500,DGPS
"4050054500","4050022000","4050022200",3.00000000,"107","000","-",연북로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,96.59738444820,
"4050054600","4050022200","4050022000",3.00000000,"107","000","-",연북로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,96.22503503390,
"4050054300","4050022000","4050021900",3.00000000,"107","003","-",연북로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,158.95211330700,
"4050054400","4050021900","4050022000",3.00000000,"107","003","-",연북로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,158.43700987000,
"4050000601","4050000603","4050000600",1.00000000,"106","000","1131",지방도1131호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,630.29358420100,516도로
"4050000501","4050000600","4050000603",1.00000000,"106","000","1131",지방도1131호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,630.22175668900,516도로
"4050020701","4050009201","4050009200",2.00000000,"106","000","1132",지방도1132호선,"0","0","000",50.00000000,"0",0.00000000,0.00000000,14.59055955440,연도로
"4050020801","4050009200","4050009201",2.00000000,"106","000","1132",지방도1132호선,"0","0","000",50.00000000,"0",0.00000000,0.00000000,15.06890089530,연도로
"4050020702","4050010500","4050009201",2.00000000,"106","000","1132",지방도1132호선,"0","0","000",50.00000000,"0",0.00000000,0.00000000,258.17459276100,연도로
"4050020802","4050009201","4050010500",2.00000000,"106","000","1132",지방도1132호선,"0","0","000",50.00000000,"0",0.00000000,0.00000000,258.77566893200,연도로
"4050016702","4050008500","4050007901",2.00000000,"106","000","1132",지방도1132호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,302.41407151200,연도로
"4050016802","4050007901","4050008500",2.00000000,"106","000","1132",지방도1132호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,295.36803961800,연도로
"4050016701","4050007901","4050007900",2.00000000,"106","000","1132",지방도1132호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,278.48292632000,연도로
"4050184200","4050060500","4050014100",1.00000000,"107","000","-",일주동로,"1","0","000",40.00000000,"0",0.00000000,0.00000000,92.54851875560,일방통행
"4050162500","4050053200","4050055000",1.00000000,"107","000","-",서광로11길,"0","0","000",30.00000000,"0",0.00000000,0.00000000,133.59165581800,기존
"4050162600","4050055000","4050053200",1.00000000,"107","000","-",서광로11길,"0","0","000",30.00000000,"0",0.00000000,0.00000000,133.75840159300,기존
"4050158900","4050052200","4050053200",1.00000000,"107","000","-",서광로11길,"0","0","000",30.00000000,"0",0.00000000,0.00000000,131.95310784100,기존
"4050159000","4050053200","4050052200",1.00000000,"107","000","-",서광로11길,"0","0","000",30.00000000,"0",0.00000000,0.00000000,131.85944988700,기존
"4050155300","4050055500","4050012300",1.00000000,"107","000","-",서광로29길,"0","0","000",30.00000000,"0",0.00000000,0.00000000,484.48499131300,기존
"4050155400","4050012300","4050055500",1.00000000,"107","000","-",서광로29길,"0","0","000",30.00000000,"0",0.00000000,0.00000000,489.12136220400,기존
"4050178400","4050058300","4050058400",2.00000000,"107","000","-",용문로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,21.50179431510,기존
"4050161300","4050055600","4050052900",1.00000000,"107","000","-",한천로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,245.03003121700,기존
"4050155500","4050052900","4050012400",1.00000000,"107","000","-",한천로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,568.27927276000,기존
"4050155600","4050012400","4050052900",1.00000000,"107","000","-",한천로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,564.45526799800,기존
"4050161400","4050052900","4050055600",1.00000000,"107","000","-",한천로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,248.76541920200,기존
"4050025502","4050012200","4050012201",1.00000000,"106","000","1132",지방도1132호선,"0","0","000",70.00000000,"0",0.00000000,0.00000000,74.91377418530,서광로
"4050025501","4050012201","4050012400",3.00000000,"106","000","1132",지방도1132호선,"0","0","000",70.00000000,"0",0.00000000,0.00000000,561.99025081000,서광로
"4050022901","4050011502","4050009500",3.00000000,"106","000","1132",지방도1132호선,"0","0","000",70.00000000,"0",0.00000000,0.00000000,412.76838785800,도령로
"4050023001","4050009500","4050011502",1.00000000,"106","000","1132",지방도1132호선,"0","0","000",70.00000000,"0",0.00000000,0.00000000,410.44927195300,도령로
"4050022902","4050011500","4050011502",3.00000000,"106","000","1132",지방도1132호선,"0","0","000",70.00000000,"0",0.00000000,0.00000000,224.95233842900,도령로
"4050023002","4050011502","4050011500",3.00000000,"106","000","1132",지방도1132호선,"0","0","000",70.00000000,"0",0.00000000,0.00000000,219.96409201100,도령로
"4050023701","4050011501","4050011500",3.00000000,"106","000","1132",지방도1132호선,"0","1","000",70.00000000,"0",0.00000000,0.00000000,129.83209842300,서광로
"4050023801","4050011500","4050011501",3.00000000,"106","000","1132",지방도1132호선,"0","1","000",70.00000000,"0",0.00000000,0.00000000,131.36286009900,서광로
"4050132500","4050009600","4050044600",1.00000000,"107","000","-",도근내길,"0","0","000",60.00000000,"0",0.00000000,0.00000000,167.02661234700,
"4050104900","4050036200","4050036900",1.00000000,"107","000","-",연사길,"0","0","000",30.00000000,"0",0.00000000,0.00000000,82.58654884920,기존
"4050105000","4050036900","4050036200",1.00000000,"107","000","-",연사길,"0","0","000",30.00000000,"0",0.00000000,0.00000000,89.21363667950,기존
"4050104800","4050036200","4050036400",1.00000000,"107","000","-",연사길,"0","0","000",60.00000000,"0",0.00000000,0.00000000,359.50812687500,기존
"4050206300","4050067300","4050067400",2.00000000,"107","000","-",임항로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,46.15255109520,기존
"4050206700","4050067400","4050067500",2.00000000,"107","000","-",임항로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,535.46759195000,기존
"4050206800","4050067500","4050067400",2.00000000,"107","000","-",임항로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,531.64797437700,기존
"4050136000","4050045600","4050045800",2.00000000,"107","000","-",남광로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,48.44484862370,기존
"4050144900","4050048100","4050048200",1.00000000,"107","000","-",영산홍길,"0","0","000",60.00000000,"0",0.00000000,0.00000000,64.46659106130,기존
"4050145300","4050048200","4050050000",1.00000000,"107","000","-",영산홍길,"0","0","000",60.00000000,"0",0.00000000,0.00000000,224.32492148900,기존
"4050145400","4050050000","4050048200",1.00000000,"107","000","-",영산홍길,"0","0","000",60.00000000,"0",0.00000000,0.00000000,236.44706758600,기존
"4050145000","4050048200","4050048100",1.00000000,"107","000","-",영산홍길,"0","0","000",60.00000000,"0",0.00000000,0.00000000,64.56249675830,기존
"4050008108","4050004200","4050004201",1.00000000,"106","000","1136",지방도1136호선,"0","0","000",30.00000000,"0",0.00000000,0.00000000,130.56624911100,아연로
"4050008208","4050004201","4050004200",2.00000000,"106","000","1136",지방도1136호선,"0","0","000",50.00000000,"0",0.00000000,0.00000000,128.62781610700,아연로
"4050066200","4050025500","4050025400",1.00000000,"107","000","-",신광로12길,"0","0","000",50.00000000,"0",0.00000000,0.00000000,290.19034636600,DGPS
"4050052100","4050023300","4050021200",1.00000000,"107","000","-",신대로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,255.65603289500,DGPS
"4050048500","4050021200","4050020100",2.00000000,"107","000","-",신대로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,146.42000387200,DGPS
"4050048600","4050020100","4050021200",2.00000000,"107","000","-",신대로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,146.48414909200,DGPS
"4050052200","4050021200","4050023300",2.00000000,"107","000","-",신대로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,255.10999445100,DGPS
"4050037700","4050017200","4050017600",1.00000000,"107","000","-",첨단동길,"0","0","000",60.00000000,"0",0.00000000,0.00000000,721.02840065200,
"4050037800","4050017600","4050017200",1.00000000,"107","000","-",첨단동길,"0","0","000",60.00000000,"0",0.00000000,0.00000000,716.68937688500,
"4050004701","4050002403","4050002400",2.00000000,"106","003","1136",지방도1131호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,80.70500914330,516도로
"4050004801","4050002400","4050002403",2.00000000,"106","003","1136",지방도1131호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,87.46837315110,516도로
"4050088700","4050031500","4050031800",2.00000000,"106","000","1136",지방도1136호선,"0","0","000",50.00000000,"0",0.00000000,0.00000000,331.68423363700,기존
"4050148900","4050049200","4050011800",2.00000000,"107","000","-",서사로,"0","0","000",50.00000000,"0",0.00000000,0.00000000,188.27322127500,기존
"4050149000","4050011800","4050049200",1.00000000,"107","000","-",서사로,"0","0","000",30.00000000,"0",0.00000000,0.00000000,188.37038168300,기존
"4050138200","4050049200","4050046000",2.00000000,"107","000","-",서사로,"0","0","000",50.00000000,"0",0.00000000,0.00000000,307.64803304700,기존
"4050005102","4050002401","4050002402",2.00000000,"106","000","1136",지방도1131호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,276.28423574700,516도로
"4050005202","4050002402","4050002401",2.00000000,"106","000","1136",지방도1131호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,280.16352549500,516도로
"4050005203","4050002600","4050002402",3.00000000,"106","000","1136",지방도1131호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,839.01559588400,516도로
"4050024900","4050012000","4050012100",3.00000000,"106","000","1132",지방도1132호선,"0","0","000",70.00000000,"0",0.00000000,0.00000000,83.38824718860,서광로
"4050025302","4050012100","4050012202",3.00000000,"106","000","1132",지방도1132호선,"0","0","000",70.00000000,"0",0.00000000,0.00000000,123.62108887000,서광로
"4050025402","4050012202","4050012100",3.00000000,"106","000","1132",지방도1132호선,"0","0","000",70.00000000,"0",0.00000000,0.00000000,123.87995328000,서광로
"4050025000","4050012100","4050012000",3.00000000,"106","000","1132",지방도1132호선,"0","0","000",70.00000000,"0",0.00000000,0.00000000,83.35621291930,서광로
"4050138100","4050046000","4050049200",2.00000000,"107","000","-",서사로,"0","0","000",50.00000000,"0",0.00000000,0.00000000,307.90444542800,기존
"4050005103","4050002402","4050002600",3.00000000,"106","000","1136",지방도1131호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,828.09997453500,516도로
"4050127100","4050009100","4050042800",1.00000000,"107","000","-",삼무로7길,"0","0","000",50.00000000,"0",0.00000000,0.00000000,199.30041235000,기존
"4050121300","4050042800","4050041200",1.00000000,"107","000","-",삼무로7길,"0","0","000",50.00000000,"0",0.00000000,0.00000000,116.36347360700,기존
"4050121400","4050041200","4050042800",1.00000000,"107","000","-",삼무로7길,"0","0","000",50.00000000,"0",0.00000000,0.00000000,118.37426779900,기존
"4050127200","4050042800","4050009100",1.00000000,"107","000","-",삼무로7길,"0","0","000",50.00000000,"0",0.00000000,0.00000000,199.00200402800,기존
"4050131900","4050063700","4050044400",2.00000000,"107","000","-",삼봉로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,2565.30616715000,기존
"4050132000","4050044400","4050063700",1.00000000,"107","000","-",삼봉로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,2568.28541739000,기존
"4050055200","4050022900","4050022200",3.00000000,"107","000","-",연북로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,646.64059781300,
"4050018501","4050009001","4050009000",2.00000000,"106","000","1132",지방도1132호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,143.07631599600,연도로
"4050018502","4050009301","4050009001",1.00000000,"106","000","1132",지방도1132호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,307.68008160900,연도로
"4050018602","4050009001","4050009301",2.00000000,"106","000","1132",지방도1132호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,307.79088677500,연도로
"4050018601","4050009000","4050009001",2.00000000,"106","000","1132",지방도1132호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,143.72434855500,연도로
"4050134900","4050047200","4050010503",1.00000000,"107","000","-",테우해안로,"0","0","000",50.00000000,"0",0.00000000,0.00000000,2193.23281151000,
"4050055100","4050022200","4050022900",3.00000000,"107","000","-",연북로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,646.78509649400,
"4050057900","4050022900","4050004800",3.00000000,"107","000","-",연북로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,1119.81916563000,
"4050058000","4050004800","4050022900",3.00000000,"107","000","-",연북로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,1120.60380047000,
"4050176900","4050058500","4050057900",1.00000000,"107","000","-",서해안로,"0","0","000",50.00000000,"0",0.00000000,0.00000000,427.22711723900,DGPS
"4050166700","4050057900","4050054500",1.00000000,"107","000","-",서해안로,"0","0","000",50.00000000,"0",0.00000000,0.00000000,1200.28516075000,DGPS
"4050166800","4050054500","4050057900",1.00000000,"107","000","-",서해안로,"0","0","000",50.00000000,"0",0.00000000,0.00000000,1186.76597807000,DGPS
