LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK
"4060493300","4060161600","4060160900","1","107","000","-",서성일로10번길,"0","0","000","30","0","0","0",53.01040000000,
"4060493400","4060160900","4060161600","1","107","000","-",서성일로10번길,"0","0","000","30","0","0","0",53.01040000000,
"4060493500","4060160900","4060161100","1","106","000","1119",서성일로,"0","0","000","60","0","0","0",180.19300000000,
"4060493600","4060161100","4060160900","1","106","000","1119",서성일로,"0","0","000","60","0","0","0",178.15690000000,
"4060493700","4060162300","4060162700","1","107","000","-",서성일로10번길,"0","0","000","10","0","0","0",43.25070000000,
"4060493800","4060162700","4060162300","1","107","000","-",서성일로10번길,"0","0","000","10","0","0","0",43.25070000000,
"4060493900","4060161900","4060162300","1","107","000","-",서성일로10번길,"0","0","000","30","0","0","0",43.07640000000,
"4060494000","4060162300","4060161900","1","107","000","-",서성일로10번길,"0","0","000","30","0","0","0",43.07620000000,
"4060494100","4060160300","4060160000","1","107","000","-",성읍정의현로122번길,"0","0","000","30","0","0","0",125.64140000000,
"4060494200","4060160000","4060160300","1","107","000","-",성읍정의현로122번길,"0","0","000","30","0","0","0",103.92330000000,
"4060494300","4060160300","4060159900","1","107","000","-",성읍정의현로122번길,"0","0","000","30","0","0","0",162.81860000000,
"4060494400","4060159900","4060160300","1","107","000","-",성읍정의현로122번길,"0","0","000","30","0","0","0",190.94890000000,
"4060494500","4060160300","4060159900","1","107","000","-",성읍정의현로122번길,"0","0","000","30","0","0","0",66.22740000000,
"4060494600","4060159900","4060160300","1","107","000","-",성읍정의현로122번길,"0","0","000","30","0","0","0",66.22740000000,
"4060494700","4060159000","4060159200","1","107","000","-",성읍정의현로136번길,"0","0","000","30","0","0","0",41.37370000000,
