CS_ID,CS_NAME,lat,long,real_lat,real_long
3379,서귀포시서부종합사회복지관,33.223,126.248,33.22390252,126.2478797
3407,서부보건소,33.219,126.253,33.2187035,126.2534156
3491,송악산 공영주차장,33.207,126.289,33.2059597,126.2867586
3463,제주추사관,33.25,126.279,33.2499613,126.2790157
4116,동부소방서,33.461,126.911,33.460229,126.9100702
4125,동부종합사회복지관,33.447,126.913,33.4467084,126.9133734
3314,성산읍사무소,33.443,126.91,33.4424138,126.9110996
4061,신산 청소년 문화의 집,33.383,126.877,33.3811222,126.8773508
4078,혼인지,33.414,126.894,33.4149305,126.8941019
413,안덕면사무소,33.26,126.329,33.2575319,126.3307426
479,표선면사무소,33.327,126.832,33.3262254,126.8321113
1283,건입동주민센터,33.515,126.532,33.5150116,126.5315988
1333,제주시 평생학습센터,33.516,126.548,33.5140706,126.5474449
1352,제주항여객터미널,33.519,126.535,33.51953529,126.5350373
1498,노형동주민센터,33.483,126.478,33.48306793,126.4771831
905,노형삼다아파트 앞 공영주차장,33.486,126.476,33.4863121,126.4763326
1512,제주도근로자종합복지관,33.47,126.487,33.46969727,126.486231
551,축산진흥원,33.445,126.489,33.4414666,126.4871027
792,탐라도서관,33.479,126.478,33.47919835,126.4771977
1150,도두동주민센터,33.502,126.467,33.5028684,126.4682368
1064,봉개동주민센터,33.493,126.594,33.4917114,126.5948784
738,절물자연휴양림,33.444,126.628,33.4393726,126.6284479
747,제주4.3평화공원,33.449,126.624,33.45086927,126.6206776
1347,해변공연장,33.518,126.525,33.518116,126.5241853
732,삼양동주민센터,33.521,126.585,33.5218396,126.5857081
549,삼양동주민센터,33.45,126.553,33.4526894,126.5531188
243,아라동주민센터,33.475,126.545,33.4763055,126.5450535
530,아라지구 공영주차장,33.426,126.557,33.4261379,126.5626925
535,양지공원,33.439,126.573,33.4400136,126.5799838
1627,인재개발원,33.448,126.56,33.4468976,126.5601614
891,자치경찰단아라청사,33.485,126.544,33.4850238,126.5442901
622,제주시각장애인복지관,33.471,126.584,33.4710751,126.581262
826,보건환경연구원,33.482,126.495,33.4798486,126.4951395
867,설문대여성문화센터,33.483,126.501,33.4844207,126.500595
617,제주도교육청,33.49,126.497,33.4902703,126.4982303
998,제주도의회,33.49,126.5,33.4903182,126.4992861
611,제주도청 1청사,33.488,126.497,33.4888341,126.4980797
948,제주도청 2청사 후문 공영주차장,33.488,126.5,33.4881996,126.5001059
770,한라수목원,33.47,126.491,33.4699272,126.4932445
1094,오라동주민센터,33.496,126.512,33.4951336,126.511555
1088,제주종합경기장,33.495,126.52,33.4949885,126.5189264
1072,제주춘강의원,33.493,126.502,33.493696,126.5017091
959,외도1동 공영주차장,33.488,126.431,33.4876623,126.429739
1060,외도동주민센터,33.493,126.433,33.4929556,126.4322517
896,제주도농아복지관,33.485,126.427,33.4848735,126.4257375
1470,제주양로원,33.479,126.448,33.4736727,126.4482646
1250,용담2동주민센터,33.512,126.512,33.5115829,126.5118008
704,이도1동주민센터,33.506,126.526,33.5067302,126.5270745
1156,동부경찰서,33.503,126.537,33.50317947,126.5367089
1106,이도2동공영주차장,33.497,126.535,33.49678952,126.5349264
684,제주벤처마루,33.5,126.53,33.5003147,126.5300349
1055,제주보건소,33.492,126.52,33.4917032,126.5202864
1144,제주시청,33.501,126.532,33.50021259,126.5322178
1147,제주학생문화원,33.501,126.54,33.5007234,126.5410454
701,고용센터,33.505,126.526,33.5044201,126.5271265
1103,이호동주민센터,33.497,126.457,33.4997537,126.4581461
699,문화예술진흥원,33.504,126.536,33.5043089,126.5353859
1204,민속자연사박물관,33.507,126.53,33.5061399,126.5316454
1167,일도삼주아파트,33.504,126.542,33.5039515,126.5426023
700,제주문화콘텐츠진흥원,33.503,126.535,33.5054697,126.5345108
937,제주애덕의집,33.487,126.559,33.49013392,126.5580751
1355,화북동주민센터,33.521,126.566,33.520225,126.5654876
64,구좌읍주민센터,33.523,126.852,33.5225168,126.8518012
2432,동부농업기술센터,33.551,126.75,33.5500699,126.750406
2434,동부보건소,33.555,126.751,33.5543773,126.7513422
63,동제주종합사회복지관,33.524,126.851,33.5230697,126.8487174
26,소망요양원,33.546,126.741,33.547644,126.7316366
2084,애월119센터,33.465,126.346,33.4666589,126.3488567
278,제주농업기술센터,33.456,126.401,33.4592643,126.403769
2304,상하수도본부,33.499,126.651,33.4996454,126.6503584
323,제주돌문화공원,33.448,126.664,33.4486627,126.6589493
2284,제주동물위생시험소,33.475,126.637,33.4757908,126.6381228
1659,제주세계자연유산센터,33.456,126.713,33.4569205,126.7147513
2293,조천 항일기념관,33.54,126.643,33.5415236,126.6425739
2278,조천읍사무소,33.535,126.636,33.5345995,126.6342946
1450,추자면사무소,33.47,126.321,33.96370145,126.2960688
1790,한경면사무소,33.35,126.183,33.35011034,126.1841057
1877,서부농업기술센터,33.362,126.248,33.353628,126.2483963
1927,서부소방서,33.405,126.269,33.4024456,126.270402
1910,한림읍사무소,33.41,126.266,33.410104,126.2670984
1914,한림체육관,33.409,126.266,33.4089702,126.2684786
716,국립제주박물관,33.512,126.549,33.5139974,126.5489702
1707,제주소방서 항만119센터,33.517,126.539,33.5201279,126.5393656
2441,구좌체육관,33.556,126.76,33.5561992,126.7616506
2454,만장굴,33.528,126.773,33.5291,126.7714308
2482,비자림,33.491,126.811,33.4913168,126.8113883
2493,세화오일장인근주차장,33.486,126.83,33.4895966,126.8316644
1752,용암해수산업화지원센터,33.542,126.813,33.5425855,126.8121733
737,어리목주차장,33.392,126.495,33.3922314,126.4945663
2245,해군호텔,33.46,126.447,33.4590325,126.448717
860,롯데마트신제주점,33.483,126.482,33.4824201,126.4819325
1115,오일시장일대공영주차장,33.497,126.476,33.4974552,126.4747907
1625,별빛누리공원,33.445,126.544,33.4450231,126.5492487
231,아라지구공영주차장,33.469,126.547,33.4703785,126.5476976
1643,제주테크노파크방송통신융합센터,33.452,126.573,33.451093,126.572006
213,한라생태숲,33.429,126.598,33.430924,126.595761
289,녹고뫼 안트레안내센터,33.419,126.406,33.4059516764,126.40796934
2015,봉성리 종합복지회관,33.423,126.313,33.4221038,126.3124995
2083,상가리사무소,33.452,126.345,33.4496848,126.3457585
2061,애월도서관,33.463,126.33,33.4633212,126.3314033
1460,하귀1지구 공영주차장,33.485,126.416,33.4845878,126.4177465
2098,클럽다인리조트,33.468,126.358,33.4710066,126.3514646
1073,시리우스호텔,33.493,126.49,33.4934468418,126.4909571
808,한라도서관,33.481,126.516,33.4763664,126.516046
983,외도구획정리지구,33.489,126.433,33.4899087,126.432638
883,외도부영2차아파트,33.484,126.434,33.48498216,126.433522
1196,제주국제공항,33.505,126.496,33.5063344,126.4952613
1581,도남e편한세상아파트1차,33.494,126.522,33.4949748,126.5226164
1527,제주상공회의소 뒤 공영주차장,33.49,126.52,33.4904195,126.5201501
1170,신천지아파트,33.504,126.546,33.50447886,126.5447864
712,영락교회 인근 공영주차장,33.51,126.543,33.5106341,126.5442435
2399,람사르습지 주차장,33.509,126.709,33.50969881,126.7156674
2262,산굼부리,33.406,126.62,33.4087482,126.635052
2323,행운식품,33.537,126.67,33.5368718,126.6699363
1917,제주현대미술관,33.337,126.268,33.33969225,126.2656922
1793,한경체육관,33.3,126.185,33.3014102,126.1845554
1847,한림공원 인근 공영주차장,33.39,126.236,33.3910691,126.2372035
3675,(재)테크노파크 생물종다양성연구소,33.316,126.634,33.31464154,126.634748
457,남원읍 공영주차장,33.279,126.721,33.2788184,126.7214486
3716,위미의례회관,33.289,126.657,33.2897921,126.657825
197,서귀포혁신도시공영주차장(국토교통부인재개발원 앞),33.268,126.52,33.2784399,126.5169922
3145,제주 곶자왈 도립공원입구,33.283,126.275,33.28322252,126.2735723
3363,대정문화체육센터,33.263,126.237,33.2633536,126.2351338
3235,서귀포 자기주도학습지원센터,33.251,126.57,33.25129639,126.5703212
2552,퐁낭작은도서관 앞 공영주차장(비석거리),33.255,126.572,33.25544697,126.5722626
372,서귀포성당 뒤 주차장(솔동산로근처),33.244,126.563,33.2436583,126.5629579
3228,서귀포시 매일시장 공영주차장,33.25,126.563,33.2501708,126.5636786
201,아랑조을거리 공영주차장,33.247,126.561,33.2477823,126.5603076
4015,모구리야영장,33.406,126.817,33.4059591,126.821694
4157,성산읍 공영주차장,33.434,126.925,33.4242095,126.931111
4170,성산일출봉 공영주차장,33.463,126.935,33.4624691,126.9352237
4043,일출랜드,33.385,126.843,33.3835243,126.8413634
4145,봄그리고가을리조트,33.47,126.917,33.474087,126.9110984
3324,성산포 공영주차장(야외),33.473,126.934,33.4719123953,126.9331983
2724,보목하수처리장,33.246,126.589,33.243313,126.5914917
3532,산방산 주차장,33.236,126.312,33.2359439,126.3119793
3558,안덕우체국 뒤 주차장,33.247,126.336,33.2462682,126.3353527
348,돈내코유원지 주차장,33.299,126.589,33.3003161,126.5847998
2617,중문랜드,33.264,126.382,33.2639753,126.3852041
3213,중문관광단지,33.287,126.409,33.2814107,126.4111118
361,중문컨벤션센터,33.241,126.426,33.2413649,126.4245153
2585,회수사거리,33.263,126.444,33.2630754,126.4425071
3974,성읍민속마을,33.383,126.8,33.3841426,126.8018149
4009,표선생활체육관,33.353,126.814,33.3544886,126.8146643
3291,표선의례회관 앞 공영주차장,33.324,126.827,33.3225332,126.8228665
4040,표선해수욕장 주차장,33.325,126.843,33.322511,126.841868
2766,쇠소깍 공영주차장,33.257,126.623,33.2542498,126.6224923
618,봉개동공영주차장,33.491,126.593,33.4914049,126.5949431
2368,북촌 너븐숭이4.3 기념관,33.545,126.687,33.5459875,126.6887641
2373,선흘리 낙선동4.3성,33.515,126.693,33.5153475,126.6945308
819,제스코마트,33.481,126.53,33.4804626,126.5292406
1294,한국교통안전공단 제주자동차검사소,33.514,126.589,33.5141378,126.5892937
3610,메밀가공시설,33.328,126.38,33.3280672,126.379672
552,도립미술관,33.454,126.487,33.4526324,126.4896073
3523,신화역사공원 조성사업,33.303,126.307,33.2991069,126.3108907
2938,하효마을다목적회관,33.258,126.618,33.2581464,126.617765
2615,홍로공영주차장,33.266,126.568,33.2663197,126.5671727
2465,송당리사무소,33.472,126.781,33.4713595,126.779182
2484,스마트그리드홍보관,33.557,126.812,33.5568204,126.8135728
1084,개인택시조합,33.495,126.469,33.4957048,126.4691969
1178,LH제주지역본부,33.504,126.523,33.5040866,126.5237993
735,제주삼양유적지,33.522,126.588,33.5236295,126.5881816
1425,삼양2동공영주차장,33.519,126.581,33.5197151,126.582675
536,제주의료원,33.446,126.559,33.4452709,126.5601453
301,서부경찰서,33.473,126.409,33.4735853,126.4062819
295,파스쿠찌유수암점,33.423,126.408,33.42359058,126.4079787
576,제주 KCTV,33.482,126.497,33.4812035,126.4962404
994,한국전력공사 제주지역본부,33.49,126.502,33.4890305,126.5013451
803,부민장례식장,33.481,126.519,33.4803205,126.5219174
314,베스트힐 주차장,33.456,126.661,33.45400628,126.6576599
1771,해양경비안전센터(고산출장소),33.309,126.177,33.3081601,126.164197
1924,유리의성,33.317,126.27,33.3148365,126.2734488
1785,한경119센터,33.343,126.183,33.3426894,126.1829494
718,제주대학교교육대학,33.514,126.554,33.5145691,126.5516729
1678,화북2동 공영주차장,33.508,126.561,33.5083458,126.5612841
3797,남원의례회관 주차장,33.293,126.71,33.2948173,126.7114506
2606,강창학경기장,33.262,126.501,33.2596431,126.501791
3455,영어교육도시119센터,33.279,126.274,33.27896208,126.2733586
2711,정방폭포(주차장),33.245,126.574,33.24474912,126.5730486
2874,서귀포의료원,33.256,126.563,33.2560963,126.5630644
2534,제주권역재활병원,33.253,126.561,33.25288112,126.5624668
4056,난산리 다목적회관,33.401,126.875,33.4010138,126.8709732
4151,성산하수처리장,33.45,126.92,33.4518197,126.9189457
4069,수산1리 복지회관,33.447,126.884,33.445846,126.8830815
3530,용머리해안(주차장),33.233,126.311,33.2337921,126.3109307
3587,안덕계곡 주차장,33.258,126.353,33.2576211,126.3532545
427,안덕면 종합복지회관,33.246,126.331,33.2458455,126.3332062
